# Oscilator_frequency (Hz)	DemodAll_A (-)	Demod_1_X_A (A)	Demod_1_Y_A (A)	Demod_1__R_A (A)	Demod_1__Theta_A (deg)	Demod_2_X_A (A)	Demod_2_Y_A (A)	Demod_2__R_A (A)	Demod_2__Theta_A (deg)	Demod_3_X_A (V)	Demod_3_Y_A (V)	Demod_3__R_A (V)	Demod_3__Theta_A (deg)	Demod_4_X_A (V)	Demod_4_Y_A (V)	Demod_4__R_A (V)	Demod_4__Theta_A (deg)	Timer_GET (s)
3950.0	1.0	0.0	0.0	0.0	-90.0	0.126613	-0.003904	0.126674	-1.766095	0.0	0.006494	0.006494	90.0	0.126614	-0.003904	0.126674	-1.766082	342385.736354
4000.0	1.0	0.0	0.0	0.0	-90.0	0.126592	-0.003894	0.126652	-1.761944	0.0	0.006564	0.006564	90.0	0.126592	-0.003894	0.126652	-1.761993	342384.276046
4050.0	1.0	0.0	0.0	0.0	-90.0	0.126567	-0.003884	0.126627	-1.757784	0.0	0.006738	0.006738	90.0	0.126567	-0.003884	0.126627	-1.757784	342382.852688
4100.0	1.0	0.0	0.0	0.0	-90.0	0.126541	-0.003869	0.126601	-1.751285	0.0	0.006826	0.006826	90.0	0.126541	-0.003869	0.126601	-1.751285	342381.422247
4150.0	1.0	0.0	0.0	0.0	-90.0	0.126522	-0.003861	0.126581	-1.748014	0.0	0.006898	0.006898	90.0	0.126522	-0.003861	0.126581	-1.748014	342379.965469
4200.0	1.0	0.0	0.0	0.0	-90.0	0.126494	-0.003852	0.126552	-1.744392	0.0	0.007021	0.007021	90.0	0.126494	-0.003852	0.126552	-1.744392	342378.521156
4250.0	1.0	0.0	0.0	0.0	-90.0	0.126475	-0.003833	0.126533	-1.735984	0.0	0.007122	0.007122	90.0	0.126475	-0.003833	0.126533	-1.735984	342377.093295
4300.0	1.0	0.0	0.0	0.0	-90.0	0.126458	-0.003831	0.126516	-1.735205	0.0	0.007246	0.007246	90.0	0.126458	-0.003831	0.126516	-1.735194	342375.612844
4350.0	1.0	0.0	0.0	0.0	-90.0	0.126433	-0.00382	0.126491	-1.730654	0.0	0.007447	0.007447	90.0	0.126433	-0.00382	0.126491	-1.730654	342374.197823
4400.0	1.0	0.0	0.0	0.0	-90.0	0.126401	-0.003812	0.126458	-1.727217	0.0	0.007611	0.007611	90.0	0.126401	-0.003812	0.126458	-1.727217	342372.751279
4450.0	1.0	0.0	0.0	0.0	-90.0	0.126376	-0.003801	0.126433	-1.722598	0.0	0.007751	0.007751	90.0	0.126376	-0.003801	0.126433	-1.722585	342371.239627
4500.0	1.0	0.0	0.0	0.0	-90.0	0.126364	-0.003792	0.126421	-1.718741	0.0	0.008004	0.008004	90.0	0.126364	-0.003792	0.126421	-1.718741	342369.822435
4550.0	1.0	0.0	0.0	0.0	-90.0	0.126359	-0.003783	0.126415	-1.714622	0.0	0.008125	0.008125	90.0	0.126359	-0.003783	0.126415	-1.714622	342368.395947
4600.0	1.0	0.0	0.0	0.0	-90.0	0.126346	-0.003775	0.126402	-1.711184	0.0	0.008522	0.008522	90.0	0.126346	-0.003775	0.126402	-1.711184	342366.936184
4650.0	1.0	0.0	0.0	0.0	-90.0	0.126325	-0.003763	0.126381	-1.706261	0.0	0.008952	0.008952	90.0	0.126325	-0.003763	0.126381	-1.706261	342365.471193
4700.0	1.0	0.0	0.0	0.0	-90.0	0.126303	-0.003753	0.126359	-1.702112	0.0	0.009912	0.009912	90.0	0.126303	-0.003753	0.126359	-1.702112	342364.035263
4750.0	1.0	0.0	0.0	0.0	-90.0	0.126289	-0.003737	0.126344	-1.694884	0.0	0.008072	0.008072	90.0	0.126289	-0.003737	0.126344	-1.694884	342362.607825
4800.0	1.0	0.0	0.0	0.0	-90.0	0.126267	-0.00373	0.126322	-1.692037	0.0	0.004212	0.004212	90.0	0.126267	-0.00373	0.126322	-1.692037	342361.150798
4850.0	1.0	0.0	0.0	0.0	-90.0	0.126251	-0.003723	0.126305	-1.688995	0.0	-0.00035	0.00035	-90.0	0.126251	-0.003723	0.126305	-1.688995	342359.681793
4900.0	1.0	0.0	0.0	0.0	-90.0	0.126234	-0.003726	0.126289	-1.690647	0.0	0.012427	0.012427	90.0	0.126234	-0.003726	0.126289	-1.690647	342358.272893
4950.0	1.0	0.0	0.0	0.0	-90.0	0.126219	-0.003711	0.126273	-1.684006	0.0	0.00292	0.00292	90.0	0.126219	-0.003711	0.126273	-1.684006	342356.8382
5000.0	1.0	0.0	0.0	0.0	-90.0	0.126122	-0.0038244999999999998	0.1261805	-1.7368675	0.0	0.0057220000000000005	0.0057220000000000005	90.0	0.126122	-0.0038244999999999998	0.1261805	-1.7368825	343875.470897
10000.0	1.0	0.0	0.0	0.0	-90.0	0.124893	-0.003948	0.124956	-1.810729	0.0	0.003073	0.003073	90.0	0.124893	-0.003948	0.124956	-1.810768	345394.100952
15000.0	1.0	0.0	0.0	0.0	-90.0	0.124233	-0.004263	0.124306	-1.96526	0.0	0.003072	0.003072	90.0	0.124233	-0.004263	0.124306	-1.96526	345392.626727
20000.0	1.0	0.0	0.0	0.0	-90.0	0.12374	-0.004675	0.123828	-2.163513	0.0	0.003102	0.003102	90.0	0.12374	-0.004675	0.123828	-2.163513	345391.194663
25000.0	1.0	0.0	0.0	0.0	-90.0	0.123339	-0.0051	0.123444	-2.367822	0.0	0.00305	0.00305	90.0	0.123339	-0.0051	0.123444	-2.367822	345389.700667
30000.0	1.0	0.0	0.0	0.0	-90.0	0.123004	-0.005539	0.123128	-2.578239	0.0	0.003075	0.003075	90.0	0.123004	-0.005539	0.123128	-2.578239	345388.247393
35000.0	1.0	0.0	0.0	0.0	-90.0	0.122722	-0.005982	0.122868	-2.790412	0.0	0.003044	0.003044	90.0	0.122722	-0.005982	0.122868	-2.790412	345386.76296
40000.0	1.0	0.0	0.0	0.0	-90.0	0.122477	-0.006429	0.122646	-3.004838	0.0	0.00307	0.00307	90.0	0.122477	-0.006429	0.122646	-3.004838	345385.306664
45000.0	1.0	0.0	0.0	0.0	-90.0	0.122244	-0.006876	0.122437	-3.219269	0.0	0.003079	0.003079	90.0	0.122244	-0.006876	0.122437	-3.21927	345383.856929
50000.0	1.0	0.0	0.0	0.0	-90.0	0.122031	-0.007322	0.12225	-3.433653	0.0	0.003064	0.003064	90.0	0.122031	-0.007322	0.12225	-3.43364	345382.413532
55000.0	1.0	0.0	0.0	0.0	-90.0	0.121816	-0.007767	0.122063	-3.648137	0.0	0.003107	0.003107	90.0	0.121816	-0.007767	0.122063	-3.648137	345380.976576
60000.0	1.0	0.0	0.0	0.0	-90.0	0.121624	-0.008209	0.121901	-3.861417	0.0	0.003111	0.003111	90.0	0.121624	-0.008209	0.121901	-3.861418	345379.562281
65000.0	1.0	0.0	0.0	0.0	-90.0	0.121434	-0.008652	0.121742	-4.075505	0.0	0.003149	0.003149	90.0	0.121434	-0.008652	0.121742	-4.075505	345378.13246
70000.0	1.0	0.0	0.0	0.0	-90.0	0.121259	-0.009093	0.1216	-4.288597	0.0	0.003164	0.003164	90.0	0.121259	-0.009093	0.1216	-4.288597	345376.652167
75000.0	1.0	0.0	0.0	0.0	-90.0	0.12109	-0.009533	0.121464	-4.501334	0.0	0.003124	0.003124	90.0	0.12109	-0.009533	0.121464	-4.501334	345375.216669
80000.0	1.0	0.0	0.0	0.0	-90.0	0.12093	-0.00997	0.12134	-4.713252	0.0	0.003125	0.003125	90.0	0.12093	-0.00997	0.12134	-4.713252	345373.740411
85000.0	1.0	0.0	0.0	0.0	-90.0	0.120765	-0.010406	0.121213	-4.924936	0.0	0.003169	0.003169	90.0	0.120765	-0.010406	0.121213	-4.924936	345372.283672
90000.0	1.0	0.0	0.0	0.0	-90.0	0.120602	-0.01084	0.121088	-5.136256	0.0	0.003183	0.003183	90.0	0.120602	-0.01084	0.121088	-5.136256	345370.797661
95000.0	1.0	0.0	0.0	0.0	-90.0	0.120443	-0.011272	0.12097	-5.346769	0.0	0.003185	0.003185	90.0	0.120443	-0.011272	0.12097	-5.346769	345369.297109
